Start Warp Name	Start Warp Group	->	End Warp Name	End Warp Group
AZALEA_GYM Exit	(Azalea Gym)	->	AZALEA_GYM Entrance	(Azalea Saved Slowpokes)
AZALEA_GYM Exit 2	(Azalea Gym)	->	AZALEA_GYM Entrance	(Azalea Saved Slowpokes)
AZALEA_MART Exit	(Azalea Mart)	->	AZALEA_MART Entrance	(Azalea)
AZALEA_MART Exit 2	(Azalea Mart)	->	AZALEA_MART Entrance	(Azalea)
AZALEA_POKECENTER_1F Stairs	(Azalea Center)	->	Pokecenter Upstairs Multi-Exit	(Pokemon Center Upstairs)
AZALEA_POKECENTER_1F Exit	(Azalea Center)	->	AZALEA_POKECENTER_1F Entrance	(Azalea)
AZALEA_POKECENTER_1F Exit 2	(Azalea Center)	->	AZALEA_POKECENTER_1F Entrance	(Azalea)
AZALEA_GYM Entrance	(Azalea Saved Slowpokes)	->	AZALEA_GYM Exit	(Azalea Gym)
AZALEA_POKECENTER_1F Entrance	(Azalea)	->	AZALEA_POKECENTER_1F Exit	(Azalea Center)
CHARCOAL_KILN Entrance	(Azalea)	->	CHARCOAL_KILN Exit	(Charcoal Kiln)
AZALEA_MART Entrance	(Azalea)	->	AZALEA_MART Exit 2	(Azalea Mart)
Azalea Exit to Ilex Gate Entrance	(Azalea)	->	Ilex to Azalea Gate Exit	(Azalea/Ilex Gate)
Azalea Exit to Ilex Gate Entrance 2	(Azalea)	->	Ilex to Azalea Gate Exit 2	(Azalea/Ilex Gate)
SLOWPOKE_WELL_B1F Entrance	(Azalea Met Kurt)	->	Slowpoke Well Exit	(Slowpoke Well Main Entrance)
KURTS_HOUSE Entrance	(Azalea)	->	KURTS_HOUSE Exit	(Kurts House)
X	(X)	->	X	(X)
X	(X)	->	BATTLE_TOWER_1F Entrance	(Battle Tower Passage)
X	(X)	->	BATTLE_TOWER_1F Entrance 2	(Battle Tower Passage)
X	(X)	->	X	(X)
X	(X)	->	X	(X)
X	(X)	->	X	(X)
X	(X)	->	X	(X)
X	(X)	->	X	(X)
X	(X)	->	X	(X)
X	(X)	->	X	(X)
X	(X)	->	X	(X)
X	(X)	->	X	(X)
X	(X)	->	X	(X)
Route 40 from Battle Tower Gate	(Battle Tower Passage)	->	Route 40 to Battle Tower Gate Exit	(Battle Tower/Route 40 Gate)
BATTLE_TOWER_1F Entrance	(Battle Tower Passage)	->	X	(X)
Route 40 from Battle Tower Gate  2	(Battle Tower Passage)	->	Route 40 to Battle Tower Gate Exit 2	(Battle Tower/Route 40 Gate)
BATTLE_TOWER_1F Entrance 2	(Battle Tower Passage)	->	X	(X)
BILLS_BROTHERS_HOUSE Exit	(Fuchsia Bills Brothers House)	->	BILLS_BROTHERS_HOUSE Entrance	(Fuchsia)
BILLS_BROTHERS_HOUSE Exit 2	(Fuchsia Bills Brothers House)	->	BILLS_BROTHERS_HOUSE Entrance	(Fuchsia)
Bills House Exit	(Bills House)	->	BILLS_FAMILYS_HOUSE Entrance	(Goldenrod Rocket Corner Block)
